doc,question,ref
digimoney.txt,"ความคืบหน้าการดำเนินนโยบายเติมเงิน 10,000 บาทผ่านดิจิทัลวอลเล็ตเป็นอย่างไร?","‘ภูมิธรรม’ เผย ร่างพ.ร.บ.เงินกู้ 5 แสนล้าน ‘ดิจิทัลวอลเล็ต’ ยังไม่เสร็จ รอส่งกฤษฎีกาตีความ ยารัฐบาลออก พ.ร.ก.ได้แต่ไม่ทำ ขอใช้รัฐสภาให้ทุกฝ่ายสบายใจ มั่นใจได้ข้อสรุปโดยเร็ว
นายภูมิธรรม เวชยชัย รองนายกรัฐมนตรี และรมว.พาณิชย์ ให้สัมภาษณ์ในวันนี้ (17 พ.ย. 66) ถึงความคืบหน้านโยบายเติมเงิน 10,000 บาท ผ่านดิจิทัลวอลเล็ตของรัฐบาลว่า คณะกรรมการดิจิทัลวอลเล็ตฯ ได้พูดคุยกันในประเด็นต่างๆ ว่า การดำเนินการจะเป็นไปอย่างรอบด้านหรือไม่ส่วนการที่คณะกรรมการกฤษฎีการะบุว่าอยากจะช่วยดูรายละเอียด ถ้าเกิดมีความชัดเจนในเรื่องข้อกฎหมายทุกฝ่ายจะได้สบายใจ แต่ไม่ได้หมายความว่า กฤษฎีกาจะปฏิเสธ ซึ่งตอนนี้ก็ยังอยู่ในกระบวนการ คาดว่าน่าจะทำโดยเร็วที่สุด ถ้าสรุปได้ข้อชัดเจนอย่างไรก็จะดำเนินการตามนั้น"
digimoney.txt,กฤษฎีกาจะใช้เวลานานไหม หรือเร็วที่สุดตามคำขอของคุณ?,"นายภูมิธรรม กล่าวต่อว่า ขณะนี้เราพยายามรับฟังเสียงข้อเสนอแนะให้ครอบคลุมมากที่สุด กรณีหากรัฐบาลจะออกเป็นพระราชกำหนด หรือ พ.ร.ก. สามารถทำได้ แต่เพียงอยากให้ทุกคนสบายใจ การเสนอเข้ารัฐสภาน่าจะเป็นทางออกที่ดีที่สุด ซึ่งต้องรอกฤษฎีกาตีความออกมาอย่างชัดเจน ตอนนี้เป็นไปตามขั้นตอนไม่ได้มีปัญหาอะไร
ส่วนขั้นตอนของกฤษฎีกาจะใช้เวลานานหรือไม่นั้น นายภูมิธรรม ระบุว่า ขึ้นอยู่กับกฤษฎีกา แต่คิดว่าเร็วที่สุด เพราะทุกคนรู้ว่าเป็นเรื่องด่วนที่จะต้องทำ
ส่วนเงื่อนไขจะมีการปรับเปลี่ยนอีกหรือไม่นายภูมิธรรม ยาว่า จะต้องฟังทางกฤษฎีกา ถ้าเกิดว่ากฤษฎีกา บอกว่าไม่มีปัญหาอะไรก็ผ่านได้เลย แต่ถ้ามีข้อท้วงติงก็จะต้องมีการประชุมกันอีก ถ้าเป็นเรื่องเล็กน้อยก็จะเป็นการปรับและนำเสนอได้เลยเช่นกัน"
digimoney.txt,หากโครงการสิ้นสุดไม่สามารถดำเนินไปต่อได้ จะต้องยุติเลยหรือไม่?,ผู้สื่อข่าวถามว่า หากท้ายที่สุดแล้วโครงการดังกล่าวไม่สามารถทำได้จะต้องยุติเลยหรือไม่นายภูมิธรรม ระบุว่า ยังไม่รู้ว่าข้อกฎหมายจะออกมาเป็นแบบไหน การจะตัดสินใจอย่างไรขึ้นอยู่กับข้อเท็จจริงทางกฎหมาย
earthquake-9.txt,แผ่นดินไหวที่เมียนมา มีผลกระทบรพ. ในจังหวัดใดบ้าง ที่ต้องปิดบริการบางส่วน?,"สธ. เผย แผ่นดินไหว ในเมียนมา กระทบ รพ. 14 แห่ง ใน 3 จังหวัด ต้องปิดบริการบางส่วน 2 แห่ง
นพ.ชลน่าน ศรีแก้ว รมว.สาธารณสุข เปิดเผยถึงกรณีเกิดแผ่นดินไหวความรุนแรงขนาด 6.4 ในพื้นที่จ.เชียงตุง รัฐฉาน ประเทศเมียนมา เมื่อช่วงเช้าวันนี้ (17 พ.ย. 66) ว่า การเกิดแผ่นดินไหวในครั้งนี้สามารถรับรู้แรงสั่นสะเทือนได้ถึงหลายพื้นที่ในประเทศไทย เบื้องต้นได้รับรายงานผลกระทบใน 3 จังหวัด ประกอบด้วย
1. เชียงราย มีหน่วยบริการสาธารณสุขได้รับผลกระทบ จำนวน 11 แห่ง ได้แก่ โรงพยาบาลเชียงรายประชานุเคราะห์ โรงพยาบาลแม่ลาว โรงพยาบาลสมเด็จพระญาณสังวร โรงพยาบาลแม่จัน โรงพยาบาลพาน โรงพยาบาลสมเด็จพระยุพราชเชียงของ โรงพยาบาลเชียงแสน โรงพยาบาลพญาเม็งราย โรงพยาบาลดอยหลวง โรงพยาบาลแม่ฟ้าหลวง และโรงพยาบาลแม่สาย ส่วนใหญ่พบปัญหามีรอยร้าว รอยแยกหลายจุดทั้งภายในและภายนอกอาคาร แต่ไม่ได้มีผลกระทบโครงสร้างหลัก"
earthquake-9.txt,โรงพยาบาลเชียงรายปิดบางส่วนเพราะเหตุใด?,"โดยโรงพยาบาลเชียงรายประชานุเคราะห์ ปิดบริการบางส่วนที่ตึกกุมารเวช โดยย้ายผู้ป่วยไปที่ตึกสงฆ์แทน ได้กำชับให้สำรวจโครงสร้างหลักตึกสูงอย่างละเอียดโดยให้สาธารณสุขนิเทศก์และเจ้าหน้าที่กองวิศวกรรมการแพทย์ สำนักงานสนับสนุนบริการสุขภาพที่ 1 เชียงใหม่ลงพื้นที่ตรวจสอบเพิ่มเติม
2. เชียงใหม่มีรายงานความเสียหาย 2 แห่ง ที่โรงพยาบาลสันทราย อาคารมีรอยร้าวเพิ่มหลายจุด และรอยร้าวเดิมเพิ่มความยาวขึ้น และโรงพยาบาลเชียงดาว พบรอยร้าว 1 แห่งที่ห้องยา สำนักงานสนับสนุนบริการสุขภาพที่ 1 เชียงใหม่จะเข้าตรวจสอบและประเมินความเสียหายเช่นกัน โดยทั้ง 2 แห่ง เปิดบริการตามปกติ"
earthquake-9.txt,จุดสำคัญของเหตุการณ์ที่เกิดขึ้นที่ตึกอุบัติเหตุในสกลนครคืออะไร?,"3. สกลนคร ตึกอุบัติเหตุฉุกเฉิน 9 ชั้น เกิดการสั่นไหวและมีรอยร้าว ได้เคลื่อนย้ายผู้ป่วยออกจากตึก และประกาศปิดบริการอาคารดังกล่าวทั้งหมด งดให้บริการผู้ป่วยนอก กรณีผู้ป่วยฉุกเฉินให้ส่งโรงพยาบาลใกล้เคียงหรือรับบริการที่ตึกรังสีรักษา ก่อนชั่วคราว เบื้องต้นทีมโยธาธิการของจังหวัดได้ตรวจสอบโครงสร้างพบว่า น่าจะไม่มีปัญหา
อย่างไรก็ตาม ทีมช่างจากส่วนกลางจะเข้าตรวจสอบอีกครั้งช่วงสุดสัปดาห์นี้สำหรับจังหวัดอื่นๆ ที่ได้รับแรงสั่นไหวแต่ไม่ได้รับผลกระทบมี 6 จังหวัด ได้แก่ลำปาง แม่ฮ่องสอน พิจิตร ชัยนาท กำแพงเพชร และอุทัยธานี"
digitalwallet-sirikanya.txt,รัฐบาลมีแผนการทำให้คำร้องเกิดผลสำเร็จหรือไม่?,"‘ศิริกัญญา’ ชี้รัฐบาลรู้อยู่แก่ใจ ‘ดิจิทัลวอลเล็ต’ ถึงทางตัน เชื่อท้ายที่สุดอาจไม่มีใครได้เงินเลย
‘ศิริกัญญา’ ชี้รัฐบาลรู้แก่ใจ ‘ดิจิทัลวอลเล็ต’ ถึงทางตัน ชงออก พ.ร.บ.กู้เงิน หาทางลงมากกว่าทำจริง ระบุขัดทั้งรัฐธรรมนูญ-กฎหมายวินัยการเงินฯ ยืมมือศาล-นักร้อง ล้มโครงการ เชื่อที่สุดอาจไม่มีใครได้เงิน แนะ ‘กฤษฏีกา’ ทำแท้งร่างกฎหมายเงินกู้ตั้งแต่ต้น"
digitalwallet-sirikanya.txt,คำว่าอาคารรัฐสภา ในบทความหมายถึงสิ่งใด?,น.ส.ศิริกัญญา ตันสกุล สส.บัญชีรายชื่อ พรรคก้าวไกล ให้สัมภาษณ์ในวันนี้ (10 พ.ย. 66) ที่อาคารรัฐสภา ภายหลัง นายเศรษฐา ทวีสิน นายกรัฐมนตรีและรมว.คลัง แถลงรายละเอียด โครงการดิจิทัลวอลเล็ต 1 หมื่นบาทว่า ขณะนี้ความชัดเจนเริ่มปรากฏแล้ว แต่เป็นความชัดเจนที่ไม่มีเรื่องแหล่งที่มาของเงิน ซึ่งนายกฯ เลือกเส้นทางที่ยากที่สุด คือการออก พระราชบัญญัติ (พ.ร.บ.) เงินกู้ 5 แสนล้านบาท เพื่อระดมทุนมาแจกในโครงการดิจิทัลวอลเล็ต แม้วันนี้หลักเกณฑ์จะมีการพูดถึงคนที่รายได้ต่ำกว่า 7 หมื่นบาท
digitalwallet-sirikanya.txt,คุณคิดว่ามีความจำเป็นจะออก พ.ร.บ.เงินกู้ 5 แสนล้านบาทได้หรือไม่?,น.ส.ศิริกัญญา กล่าวต่อว่า แต่ท้ายที่สุดอาจไม่มีใครได้เงินจากโครงการนี้เลย เพราะเสี่ยงขัดต่อกฎหมายขัดรัฐธรรมนูญ มาตรา 140 และขัดต่อ พ.ร.บ.วินัยการเงินการคลัง มาตรา 53 ที่มีการระบุว่า หากใช้เงินที่ไม่ได้เป็นไปตามงบประมาณปกติจะทำได้กรณีมีความจำเป็นเร่งด่วนเท่านั้น แต่วันนี้ยังไม่มีความจำเป็นเร่งด่วนอะไร เราไม่ได้อยากกดดันให้มีการร้องเรียนไปยังศาลรัฐธรรมนูญ แต่เราคิดว่านี่เป็นหน้าที่ของฝ่ายบริหารอย่างแท้จริงที่ต้องแสดงความรับผิดชอบ โดยให้คณะกรรมการกฤษฎีกาตีความให้เด็ดขาด ว่ารัฐบาลจะออก พ.ร.บ.เงินกู้ 5 แสนล้านบาทได้หรือไม่ โดยไม่ต้องไปถึงมือขององค์กรอิสระที่ไม่เป็นวิถีทางประชาธิปไตยสักเท่าไหร่
digitalwallet-sirikanya.txt,การพระราชบัญญัติเงินกู้ 5 แสนล้านบาทมีความเสี่ยงจริงหรือไม่?,น.ส.ศิริกัญญา กล่าวด้วยว่า ที่ต้องออกมาพูด เพราะการออกพ.ร.บ.เงินกู้ 5 แสนล้านบาท มีความสุ่มเสี่ยงจริงๆ เหมือนกับกรณีพ.ร.บ.เงินกู้ 2 ล้านล้านบาท อย่างชัดเจน ที่ถูกศาลรัฐธรรมนูญตีตกว่าไม่มีความจำเป็นเร่งด่วน ดังนั้น รัฐบาลพรรคเพื่อไทยจะอ้างว่าไม่รู้ไม่ได้ตนตั้งข้อสังเกตว่าการที่รัฐบาลเลือกทางนี้ เพราะไม่ต้องการให้โครงการนี้สำเร็จ แต่ต้องการให้เข้าทางนักร้องต่างๆ เพื่อหาทางลงให้สวยงามของโครงการที่มาถึงทางตันโดยสมบูรณ์แล้ว ตนไม่ได้เห็นด้วยกับการร้องศาลรัฐธรรมนูญเรื่องนี้ แต่ขอให้รัฐบาลได้แสดงความรับผิดชอบทางการเมืองโดยการให้กฤษฎีกาตีความ
digitalwallet-sirikanya.txt,คำว่ากฤษฎีกามีความหมายอย่างไรในบทความดังกล่าวบ้างลองดูบทความเนื้อหาเกี่ยวกับกฤษฎีกาและคำจำั 69.,"“รัฐบาลเองน่าจะเห็นแล้วว่าไม่มีทางที่จะไปได้จริงๆ ทางเลือกนี้เป็นการหาทางลงมากกว่าที่จะเดินหน้าโครงการนี้จริงๆ ถ้ากฤษฎีกาตีความเข้าข้างให้ผ่าน และสส. ในสภาก็ให้ผ่าน สิ่งที่จะเกิดขึ้นคือภาระหนี้ในแต่ละปีงบประมาณที่จะเพิ่มขึ้นปีละ 5 แสนล้านบาท หรือคิดเป็น 15% ของงบรายจ่ายประจำปีซึ่งจะเป็นภาระงบประมาณอย่างใหญ่หลวง สิ่งที่รัฐบาลทำวันนี้จะทำภาระดอกเบี้ยเกิน 10% ในงบประมาณปี 68 ทันทีซึ่งเป็นเรื่องที่รัฐบาลไม่ได้พูดถึงทั้งเรื่องภาระหนี้ และภาระดอกเบี้ย ความเสี่ยงนี้จะไม่เกิดขึ้นหากพ.ร.บ.เงินกู้ 5 แสนล้านบาท ถูกทำแท้งตั้งแต่ต้นโดยกฤษฎีกา” น.ส.ศิริกัญญา กล่าว
ผู้สื่อข่าวถามว่า แบบนี้เหมือนเป็นการขายผ้าเอาหน้ารอดหรือไม่น.ส.ศิริกัญญา กล่าวว่า ถ้าจะพูดแบบนั้นน่าจะได้ผลลัพธ์ที่เกิดขึ้นมาจากการที่ไม่ได้คิดนโยบายอย่างถี่ถ้วน ตั้งแต่ก่อนหาเสียง เมื่อถึงทางตันจึงต้องหาทางลงแบบนี้"
digitalwallet-sirikanya.txt,เงื่อนไขโครงการดิจิทัลวอลเล็ตแนบอยู่กับผู้มีรายได้สูงที่สุดใช่ไหม?,น.ส.ศิริกัญญา กล่าวด้วยว่า เงื่อนไขต่างๆ โครงการดิจิทัลวอลเล็ต เหมือนลอยมาจากฟ้าโดยสิ้นเชิง หากตัดตามสัดส่วนผู้มีรายได้ 20% บนสุดต้องอยู่ประมาณ 6 หมื่นบาท แต่วันนี้เราไม่รู้ว่าตัวเลข 7 หมื่นบาทมาจากไหน จะตัดคน 4 ล้านกว่าคนได้จริงหรือไม่ตนคิดว่า รัฐบาลต้องการตัวเลขกลมๆ ที่ 50 ล้านคน จึงไม่มีหลักเกณฑ์อะไรมากนัก
AppleVisionProNews.html,เป้าหมายการประเมิน Apple Vision Pro ลอตแรกคืออะไรบ้าง?,"นักวิเคราะห์ประเมิน Apple Vision Pro ลอตแรกมีจำนวนจำกัดไม่เกิน 80,000 เครื่องLogo Thairathicon membericon searchข่าววิดีโอหนังสือพิมพ์ไทยรัฐทีวีไลฟ์สไตล์กีฬาบันเทิงดวงหวยนิยายช็อปปิ้งMONEYMIRRORTHAIRATH +LIVEข่าวข่าวทั้งหมดพระราชสำนักทั่วไทยในกระแสการเมืองเศรษฐกิจต่างประเทศอาชญากรรมยานยนต์เทคโนโลยีราคาทองคำรายงานพิเศษเกษตรความยั่งยืนคอลัมน์Refresh Storiesบันเทิงข่าวทั้งหมดข่าวบันเทิงดารา เซเลบกอสซิบนางงามละคร ซีรีย์เพลงหนังนิยายไลฟ์สไตล์ข่าวทั้งหมดสุขภาพและความงามไอทีไลฟ์สไตล์ 45+ท่องเที่ยวพระเครื่องประวัติบุคคลวิดีโอวิดีโอทั้งหมดคลิปเด่นThairath TalkสถานีผีดุคลับรถMoneyThairath"
AppleVisionProNews.html,คำว่าเซเลบกอสซิบนางงามมีความหมายอะไรครับ?,เซเลบกอสซิบนางงามละคร ซีรีย์เพลงหนังนิยายไลฟ์สไตล์ข่าวทั้งหมดสุขภาพและความงามไอทีไลฟ์สไตล์ 45+ท่องเที่ยวพระเครื่องประวัติบุคคลวิดีโอวิดีโอทั้งหมดคลิปเด่นThairath TalkสถานีผีดุคลับรถMoneyThairath PlusPeepzMIRRORPodcastหวยตรวจหวยตรวจหวยย้อนหลังสถิติหวยข่าวเลขเด็ดดวงดูดวงรายวันทำนายฝันดูดวงไพ่ยิปซีดูดวงความรักดูดวงราศีดูดวงนักษัตรดวงรายสัปดาห์ดวงรายเดือนดวงน่าอ่านวอลมงคลหนังสือพิมพ์หนังสือพิมพ์ล่าสุดคอลัมน์หนังสือพิมพ์หนังสือพิมพ์ย้อนหลังInfographicThairath Talkกีฬาข่าวทั้งหมดฟุตบอลต่างประเทศฟุตบอลไทยSport Insiderไฟต์สปอร์ตกีฬาโลกวิดีโอแกลเลอรี่Thairath Shoppingช้อปปิ้งซื้อ-ขายส่วนลดThairath MoneyInvestmentPersonal Finance EconomicsBusiness & MarketingTech & InnovationSustainabilityExperts PoolVideosPR NewsThairath PlusPolitics & SocietyEveryday LifeSubcultureNature
AppleVisionProNews.html,What section of Thai news are you interested in?,MoneyInvestmentPersonal Finance EconomicsBusiness & MarketingTech & InnovationSustainabilityExperts PoolVideosPR NewsThairath PlusPolitics & SocietyEveryday LifeSubcultureNature MatterMIRRORLIFEWELLNESSCULTUREBEAUTYVIDEOไทยรัฐ TVรายการทั้งหมดLiveดูย้อนหลังผังรายการมูลนิธิไทยรัฐเกี่ยวกับมูลนิธิไทยรัฐ100ปีกำพล วัชรพลประวัติและผลงานข่าวสารกิจกรรมวิดีโอมูลนิธิไทยรัฐ ติดตามเราได้ที่ Facebook Instagram Youtube tiktok •ร่วมงานกับเรา•เกี่ยวกับเรา•ติดต่อโฆษณา•ติดต่อเรา
AppleVisionProNews.html,Apple Vision Pro จะวางจำหน่ายเมื่อไหร่?,"12 ม.ค. 2567 11:05 น.ข่าวเทคโนโลยีไทยรัฐออนไลน์นักวิเคราะห์ประเมิน Apple Vision Pro ลอตแรกมีจำนวนจำกัดไม่เกิน 80,000 เครื่อง-กกก+LightDarkฟังข่าวแชร์ข่าววิดีโอ""เจเจ-ต้าเหนิง"" ร้องกองปราบฯ เอาผิดอดีตพนักงานหลังเอาข้อมูลบริษัทไปเผยแพร่Apple Vision Pro ผลิตภัณฑ์ตัวความหวังใหม่ของแอปเปิลซึ่งมีกำหนดการวางจำหน่าย 2 กุมภาพันธ์นี้คาดว่าน่าจะเป็นผลิตภัณฑ์ที่ขาดตลาดอย่างรวดเร็ว เนื่องจากลอตแรกมีสินค้าเพียง 60,000-80,000 เครื่องเท่านั้นMing-Chi Kuo นักวิเคราะห์ชื่อดังโพสต์ข้อความบนเอ็กซ์ ผ่านบัญชีส่วนตัว @mingchikuo ผู้ที่สนใจเป็นเจ้าของ Apple Vision Pro ที่สั่งล่วงหน้าได้ในวันศุกร์ที่ 19 มกราคม และวางจำหน่ายอย่างเป็นทางการวันที่ 2 กุมภาพันธ์ อาจต้องรีบดำเนินการอย่างรวดเร็ว หากต้องการเป็นเจ้าของผลิตภัณฑ์ชิ้นนี้Ming-Chi Kuo วิเคราะห์ว่า Apple Vision Pro ลอตแรกมีสินค้าประมาณ 60,000-80,000"
AppleVisionProNews.html,ว่า Apple Vision Pro จำหน่ายเมื่อไหร่และจำนวนสินค้าเป็นเท่าไร?,"และวางจำหน่ายอย่างเป็นทางการวันที่ 2 กุมภาพันธ์ อาจต้องรีบดำเนินการอย่างรวดเร็ว หากต้องการเป็นเจ้าของผลิตภัณฑ์ชิ้นนี้Ming-Chi Kuo วิเคราะห์ว่า Apple Vision Pro ลอตแรกมีสินค้าประมาณ 60,000-80,000 เครื่องเท่านั้น ด้วยสินค้าที่มีจำนวนไม่มากนัก เขาจึงเชื่อว่าท้ายที่สุดแล้ว Vision Pro น่าจะขายหมดในเวลาไม่นานตามรายงานของสำนักข่าวไฟแนนเชียล ไทมส์ ที่เคยระบุเอาไว้เมื่อปีที่แล้ว เชื่อว่า ตลอดทั้งปี 2024 แอปเปิลตั้งเป้าวางจำหน่าย Apple Vision Pro เอาไว้ที่ 4 แสนเครื่อง
ที่มา:
@mingchikuo......"
